time_s,time_min,depth_m,lead,tail,cement_total,spacer,flusher,mud
195.535,3.2589,7184.406,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7174.7,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7164.994,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7155.288,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7145.582,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7135.876,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7126.17,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7116.464,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7106.758,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7097.052,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7087.346,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7077.64,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7067.934,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7058.228,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7048.522,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7038.816,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7029.11,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7019.404,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7009.698,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6999.992,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6990.286,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6980.58,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6970.874,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6961.168,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6951.462,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6941.756,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6932.05,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6922.344,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6912.638,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6902.932,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6893.226,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6883.52,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6873.814,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6864.108,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6854.402,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6844.696,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6834.99,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6825.284,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6815.578,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6805.872,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6796.166,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6786.46,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6776.754,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6767.048,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6757.342,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6747.636,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6737.93,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6728.224,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6718.518,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6708.812,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6699.106,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6689.4,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6679.694,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6669.988,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6660.282,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6650.576,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6640.87,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6631.164,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6621.458,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6611.752,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6602.046,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6592.34,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,6582.634,0.0,0.0,0.0,0.0,0.0,1.0
